검색키워드,검색범위,사례명,사례내용,답변,담당부서,관련법령,날짜
기후 변화,내용,(재)차세대수치예보모델개발사업단에서는 무슨 일을 하나요?,(재)차세대수치예보모델개발사업단에서는 무슨 일을 하나요?,"안녕하세요, 기상청 업무에 관심을 가져주셔서 감사드리며, 귀하의 질문에 답변드리겠습니다.   (재)차세대수치예보모델개발사업단은 ‘시·공간 통합형 수치예보기술 개발사업’을 성공적으로 추진하기 위하여 기상법 제32조에 따라 연구 전담인력 100% 참여 형태의 비영리 재단법인으로 ’20년 9월 설립되었으며, 1센터 5실 10팀 운영정원 113명(연구개발인력 98명)의 조직으로 구성되었습니다. 시‧공간 통합형 수치예보모델을 개발함으로써 기상재해 및 기후변화로부터 국민의 생명과 재산 보호 및 공공복리 증진에 기여하고자, 사업단에서는 일기예보 서비스 품질을 높이기 위한 차세대 수치예보모델을 개발하며, 수치모델링센터의 현장업무에 필요한 핵심 소프트웨어 기술을 제공하기 위한 업무를 하고 있습니다.   그밖에 궁금한 사항이 있으시면 기상청 수치모델개발과(손현민, 010-2181-0527)로 문의주시면 친절히 답변하겠습니다. 감사합니다. 2021-06-22",기상청 수치모델링센터 수치모델개발과,기상법 / 제13조(일반인을 위한 예보 및 특보),2021-06-22
기후 변화,내용,유전자 변형 식물에 관하여 문의,유전자 조작 식물중에 식물의 호흡량을 늘리거나 한번 호흡을 할때 co2의 흡수량을 늘리고 뱉는산소의 양이 co2보다 많은 그런 유전자 개발쪽 식물이 있거나 개발중이거나 만약 개발하지않는다면 그 이유가 궁금해서 문의드립니다. 만약 그런 식물이 개발이된다면(존재한다면) 조금이나마 지구온난화현상 등 지구에 도움이 되지않을까해서 생각해봤습니다.,"안녕하십니까? 농촌진흥청입니다.  ○ 산업혁명이 시작된 이래 인구가 증가하고 산업화가 진행되면서 화석연료의 과도한 사용과 대규모 산림벌채 등으로 대기 중 이산화탄소의 농도가 증가하였으며, 이로 인해 지구의 평균온도가 점점 상승하는 지구 온난화 현상이 발생하였습니다.  ○ 식물은 광합성 작용을 통해 이산화탄소를 탄소로 바꿔주고 생성된 탄소는 식물에 저장되며 대기 중에 산소를 방출시키는 역할을 함으로써 지구 온난화 현상을 줄이기 위해 식물의 집단을 이용한 연구가 진행되고 있으며 미국 연구진은 녹색 식물의 성장촉진이 기후변화의 속도를 감소시킨다는 사실을 알아냈습니다.   ○ 하지만 대기 중 이산화탄소의 농도 증가는 식물의 성장을 촉진시킬 수도 있지만 흡수할 수 있는 양이 한계에 다다랐을 때는 식물의 이산화탄소 흡수 능력이 떨어지는 문제점도 안고 있어 현재 식물로 하여금 이산화탄소의 흡수량을 늘리고 광합성 능력을 촉진하도록 하는 연구들이 활발히 진행되고 있습니다.   ○ 최근 연구결과를 보면 일본의 교토대 연구그룹에서는 식물이 광합성에 필요한 이산화탄소를 흡수하는 기공의 수를 늘리는 식물호르몬인 stomagen을 처음으로 발견하였으며, 미국의 다트머스대 교수인 McClung은 기후가 변하고 한계조건을 가진 서식처를 이용해야 할 필요성이 점점 커지고 있는 상황 속에서 식물의 생체시계를 기공조작으로 미세하게 조정함으로써 물을 잃지 않고도 이산화탄소를 얻는 능력을 최적화시키는 방법을 연구 중입니다.   ○ 서울대 박충모 교수팀은 식물의 개화 조절 유전자인 FCA (flowering control locus A)라는 단백질을 이용해 엽록소 합성효소의 안전성을 유지시켜 고온에서도 광합성이 가능하도록 하였습니다.  ○ 미국의 일리노이주립대 연구팀은 담배를 이용한 광합성 관련 유전자(ZEP, VDE, Psbs)들의 조작에 의한 형질전환체에서 이산화탄소 흡수율 11%, 광합성 효율 14%가 증진된 결과를 Science에 보고한 바가 있습니다.   ○ 또한 20?30년 전부터 광합성 효율이 떨어지는 C3식물(탄소를 3개씩 저장)을 광합성 효율이 높은 C4식물처럼 바꾸려는 유전자조작 연구와 함께 RubisCo 효소의 기능을 향상시킴으로써 이산화탄소의 흡수를 증진시키려는 연구가 진행 중에 있습니다.   농업기술상담은 전국어디서나 ☎1544-8572 농촌진흥청 고객지원담당관실  2021-06-16",농촌진흥청 기획조정관 고객지원담당관,민원 처리에 관한 법률 / 제27조(처리결과의 통지),2021-06-16
기후 변화,내용,학교도서관 운영비 및 자료구입비 예산 편성 기준은,학교도서관 운영비 및 자료구입비 예산 편성 기준은,"o 「경기도교육청 학교도서관 운영 및 독서교육 진흥 조례」에 의거하여 운영비는 학교기본운영비의 1% 이상, 자료구입비는 학교기본운영비의 3% 이상 예산을 확보하도록 노력하여야 합니다.   o 「학교도서관 진흥 시행 계획」 및 「2021학년도 학교회계 예산편성 기본지침」 에 따라 학생독서활동을 통한 올바른 시민으로의 성장지원을 위하여 고전·인문학 자료(자료구입비의 5%), 평화․통일 자료, 기후․생태․환경 관련 자료, 미디어 리터러시 교육을 위한 자료 등 학교 상황에 맞춰 자유롭게 편성합니다.   ** 관련 근거 **   1. 「경기도교육청 학교도서관 운영 및 독서교육 진흥 조례」 [경기도조례 제6171호, 2019. 4. 29. 시행] 제11조(시설·자료 등) ② 학교장은 예산편성에 있어 도서관운영비는 학교기본운영비의 1% 이상을 확보하도록 노력하고, 자료구입비는 학교기본운영비의 3% 이상을 확보하도록 노력한다.   2. (공립)「2021학년도 학교회계 예산편성 기본지침」, (사립)「2021학년도 사학기관 예·결산 업무 처리 지침」 학교기본운영비 ▷ 표준교육비 = 규모별 표준교육비 ± 여건별 표준교육비 + 총액교부사업 ∘ 규모별 표준교육비(표준교육비 단가, 교당·급당·학생당 경비) - 당해 학년도 학교 규모에 따라 지원되는 경비 - [교당경비+(학급당 경비 지원단가×학급 수)+(학생당 경비 지원단가×학생수)] - 학급 수 산정 시 특수·특별 학급 수 포함 ∘ 여건별 표준교육비(기본경비 조정) - 학교 여건에 따라 지원하는 경비 - 건물유지비, BTL교 감액, 신설교 개교 경비 등 ▷ 총액교부사업: 단위학교에 공통으로 적용되는 목적사업비를 학교기본운영비로 전환 학교기본운영비로 총액을 배분하여 지원하는 경비 3. 「2021년 학교도서관 진흥 시행계획」 ∘ 다양한 학습 환경 변화를 반영한 최신의 장서확충 - 학교운영기본경비의 3% 이상을 자료구입비로 편성하여 장서의 최신성 유지 · 고전 및 인문학 관련 자료구입(자료구입비의 5%)으로 인문소양교육 지원 · 평화․통일, 기후․생태․환경 관련 자료구입 및 지원으로 시민교육 강화 ∘지능정보사회 기본소양으로 미디어 리터러시 교육 개발·지원 - 정보활용, 독서교육 등 범교과 연계 NIE프로그램으로 비판적 이해능력 함양 유도 - 기사문, 팟캐스트, 유튜브 등 콘텐츠 제작교육을 통해 책임감 있게 생산‧소통할 수 있는 주체로서의 시민 양성 - 학교도서관 연계 저작권법, 개인정보보호 등 올바른 정보윤리의식 함양 교육 - 학교도서관을 활용한 미디어 리터러시 교육이 활성화 되도록 2021학년도 학교교육과정 수립 및 예산 편성 시 반영 권장   4. 「2021학년도 학교회계 예산편성 기본지침」 교수학습활동에 직접 투입되는 예산 우선 확보 ∘ 학생복지/교육격차해소, 특수학급, 학생자치활동, 학교도서관 미디어 리터러시 예산을 우선 편성하여 학생중심의 재정운용   2021-06-10",경기도교육청 미래교육국 도서관정책과,학교도서관진흥법 시행령 / 제7조(사서교사 등),2021-06-10
기후 변화,내용,학교 내 일회용 물티슈 사용 제한 요청,일회용품을 줄일 수 있도록 교육해야하는 상황이지만 학교에서 일회용 물티슈를 사용하는 것을 권하고 있습니다. 일회용품 사용이 줄어들 수 있는 교육환경이 되기를 희망합니다.,"귀하의 민원내용은 학교내 1회용품 사용에 대해 문제를 제기하고 이에 대한 조치 요청 민원으로 이해됩니다. 귀하의 질의 사항에 대해 검토한 의견은 다음과 같습니다. 가. 우리교육지원청은 자연과 인간의 공존 및 지속 가능한 미래를 위한 ‘2021 기후변화 대응 생태·환경교육’을 추진하고 있으며, 역점추진 과제로 ‘학교 내 1회용품 사용 줄이기 실천 운동’을 전개하고 있습니다. 나. 주요 내용으로는 학교 내 1회용품 사용 줄이기 교육 및 홍보 활성화, 1회용품 사용 줄이기 실천 운동 등을 전개하여 학생들이 평소 생활 속에서 1회용품을 왜 줄여야 하는지에 대한 필요성과 중요성을 스스로 공감하고 실천할 수 있도록 하고 있으며, 이를 위해 각급 학교에는 교육과정과 연계하여 추진하도록 안내하고 있습니다. 다. 또한, 관내 학교에 교육활동 중 1회용품 사용을 지양하고, 불필요한 1회용 물티슈 사용 감축을 지속적으로 안내하도록 하겠습니다. 라. 앞으로도 우리교육지원청에서는 지속가능한 미래를 위한 생태·환경교육을 강화할 것이며, 학교내 일회용품 사용을 줄이기 위해 최선을 다하도록 하겠습니다. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가설명이 필요한 경우 경기도평택교육지원청 중등교육지원과(☏031-650-1524)에 연락주시면 친절히 안내해드리도록 하겠습니다. 감사합니다.   2021-05-31",경기도교육청 경기도평택교육지원청,기타,2021-05-31
기후 변화,내용,어린이공원 송충이 방역 요청,"안녕하세요 어린이공원에 아이들이 많이 있는데 차나 길바닥, 놀이기구, 공원 의자 등에 송충이인지 나방애벌레인지... 많이 보입니다. 다른 어린이공원 등도 많을 거 같은데 약을 뿌려주시거나 조치를 취해주실 수 없을까요??","귀하께서 고견 주심에 깊은 감사를 드리고, 매미나방으로 민원을 제기하신 것으로 판단됩니다. 매미나방 유충이 추운 겨울에 동사를 하였으나, 지금은 지구 온난화, 기후변화, 겨울철 따뜻한 기후로 매미나방 유충이 알집에서 동절기를 거치며 부화해 애벌레로 식엽에 피해를 주고 있어 산림병해충 예찰·방제단과 함께 산림 및 공원 방제에 온 힘을 기울이고 있습니다. 따라서, 양해를 바라고, 도시공원 관리를 위해 최선을 다하겠습니다. 기타, 궁금하신 사항은 충주시청 푸른도시과 도시공원팀(043-850-6162)으로 연락주시면 성실히 답변해 드리도록 하겠습니다. 감사합니다 2021-05-28",충청북도 충주시 복지민원국 민원봉사과,민원 처리에 관한 법률 / 제27조(처리결과의 통지),2021-05-28
기후 변화,내용,대구시 환경분야 행정서비스 이행기준은?,대구시 환경분야 행정서비스 이행기준은?,"지속가능한 녹색환경도시 실현을 위하여 노력하겠습니다. □ 환경오염으로 인한 피해가 발생하여 지방환경분쟁조정위원회에 분쟁 조정 신청 시 최선을 다하여 구제하겠습니다. ❍ 환경분쟁조정 제도의 종류는 알선·조정·중재 및 재정이 있습니다. ❍ 지방환경분쟁조정위원회는 환경피해 분쟁을 간편한 절차와 적은 비용으로 해결하여 주는 합의제 준사법적 기능을 수행합니다. ❍ 다툼 발생 시 환경분쟁을 신속·공정하고 효율적으로 해결하여 시민의 건강·재산·정신적 피해를 구제하겠습니다. □ 열린 환경행정을 통한 민원처리 간소화에 힘쓰며, 환경산업체 관리 강화를 통해 환경오염원 관리에 최선을 다하겠습니다. ❍ 환경산업체 등록 및 변경등록을 위한 민원처리에 있어 불필요한 서류를 요구하지 않겠습니다. ❍ 환경산업체 등록 및 변경등록을 위한 민원처리 기간을 단축하여 신속히 처리하겠습니다. ❍ 환경산업체에 대한 지도·점검 강화를 통한 적정 영업활동 감시·감독을 통해 환경오염원 관리 및 환경오염 예방에 힘쓰겠습니다. □ 기후변화 대응 및 적응계획 수립 추진으로 녹색환경도시 조성에 이바지 하겠습니다. ❍ 시민들이 실천하기 쉬운 녹색생활 실천 프로그램 개발 및 보급으로 온실가스 감축 분위기를 조성하도록 하겠습니다. ❍ 기후변화 분야별 적응매뉴얼을 작성 및 교육ㆍ홍보를 통하여 기후변화 적응을 조기에 실현 하도록 하겠습니다. ❍ 그린스타트 네트워크 운영을 통한 그린리더 양성으로 녹색생활 실천 운동이 확산되도록 하겠습니다. □ 대기보전 종합계획 수립을 통한 지속적인 추진과 평가로 대기질 개선에 노력하겠습니다. ❍ 대기오염배출원에 대하여 취약시간대, 민ㆍ관 합동, 종별·등급별 차등 점검 등 효율적인 지도점검을 실시하여 대기질을 개선하도록 하겠으며, ❍ 대기배출업소의 법령 위반사항에 대한 행정처분 결과를 정기적 (월1회 이상)으로 홈페이지에 게재하겠습니다. ❍ 운행차 배출가스를 줄이기 위하여 배출가스 단속반을 편성·운영하고, 매연단속을 연간 200일 이상 실시하여 매연과다발생 자동차는 단속당일 구·군에 인계하여 행정조치토록 하겠습니다. ❍ 미세먼지 관리계획을 5년마다 수립·시행토록 하겠습니다. □ 환경오염으로 인한 불편을 해소하기 위하여 환경신문고(전화-국번없이 128)를 주간에는 업무담당부서, 야간에는 당직실에서 상시운영하며, 컴퓨터통신·우편엽서·팩스 등으로도 환경신고를 접수하여 5일 이내에 처리하고 결과를 알려 드리겠습니다. ❍ 신고사항이 구·군 또는 다른 기관의 소관사항일 때에는 3시간 이내에 즉시 해당기관으로 이송하도록 하겠습니다. 아울러 신고된 사항에 대하여는 환경관련법 위반여부를 확인하고, 그 결과에 따라 행정처분 등 적절한 조치와 함께 신고인에게 조사결과 등을 알려주도록 조치하겠습니다. ❍ 오존농도가 높은 4월∼9월에는 오존상황실을 매일 운영하여 오존에 대한 시민의 건강보호를 위해 노력하며 환경오염에 신속히 대처하겠습니다.   ❖ 서비스별 상담창구 서 비 스 명 접수부서 전화번호 FAX 환경분쟁조정 환경정책과 803-3682 803-4179 환경산업체 등록 및 변경등록 ″ 803-3682 소음 ㆍ 진동 “ 803-3682 녹색생활실천 기후대기과 803-5254 803-5259 대기오염상황실 ″ 803-5276 대기, 악취 ″ 803-5271 운행차 배출가스 단속 ″ 803-5323 환경신문고 ″ 국번없이 128  2021-05-21",대구광역시 자치행정국 소통민원과,기타,2021-05-21
기후 변화,내용,지구는 앞으로 얼마나 더 더워질까요?,지구는 앞으로 얼마나 더 더워질까요?,"안녕하세요. 기상청 업무에 관심을 가져 주셔서 감사합니다. 지구는 앞으로 얼마나 더 더워질까요? 질문에 대해 간략하게 설명 드리겠습니다.   기후변화에 관한 정부간 협의체 IPCC(Intergovernmental Panel on Climate Change)는 온실가스 감축 여부와 인구, 경제, 토지이용, 에너지 사용 등의 사회경제적 요인을 고려하여 미래 전지구 기온 상승 범위를 산출하였습니다.  21 세기 후반(2081~2100년) 전지구 평균기온은 온실가스 배출 정도에 따라 현재(1995~2014년) 보다 1.9℃에서 크게는 5.2℃까지 더워질 것으로 전망됩니다.     한반도의 경우 21세기 후반 연평균기온은 고탄소 시나리오에서 현재 대비 7.0℃ 상승하는 반면, 온실가스 저감 정책이 실현된 저탄소 시나리오에서는 2.6℃ 상승으로 기후변화가 상당히 억제될 것으로 전망됩니다.    또한 더운 낮을 의미하는 온난일은 고탄소 시나리오에서 21세기 후반 현재 대비 약 4배로 급증하고 추운 밤을 의미하는 한랭야는 거의 발생하지 않을 것으로 전망되며 저탄소 시나리오의 경우 온난일은 약 2배 증가하고 한랭야는 절반으로 감소할 것으로 전망합니다.   기상청 기후정보포털(www.climate.go.kr)에서는 우리동네 2100년까지의 기후변화 전망정보를 제공합니다. '기후정보포털 >기후변화시나리오 >미래 기후전망>행정구역'에서 온실가스 배출 감축 정도에 따른 지역별(읍면동 기준) 기온, 강수량과 폭염일수, 열대야일수, 강수강도 등의 극한기후지수 정보를 조회할 수 있습니다.  (출처: 전지구 기후변화 전망보고서(2020), 한반도 기후변화 전망보고서 2020(2020), 기후정보포털)   언제나 행복과 즐거움이 가득하길 바랍니다. 그 밖의 궁금하신 사항에 대해서는 언제든지 담당자에게 문의해주시면 성심성의껏 답변 드리겠습니다.   * 담당자 : 기후과학국 기후변화감시과, Tel. 02-2181-0637   2021-05-18",기상청 기후과학국 기후변화감시과,기상법 / 제21조(기후감시 및 영향조사 등),2021-05-18
기후 변화,내용,기후는 왜 변화고 이산화탄소는 어디에서 오는 것일까?,안녕하세요. 우리들이 흔히 기후는 변하고 이산화탄소 때문에 지구의 온도가 상승한다고 말을 하는데 그럼 기후는 왜 변화고 이산화탄소는 어디에서 오는 것일까?,"안녕하세요. 기상청 업무에 관심을 가져 주셔서 감사합니다. 현재 우리는 이산화탄소의 농도 증가와 이로 인한 기후변화를 염려하고 있습니다.   그러면 기후는 왜 변할까? 기후변화의 원인에는 여러가지로 나누어질 수 있습니다.  (1) 태양으로부터 지구에 도달하는 태양에너지의 변화와 화산활동 등 자연적인 변화와  (2) 인간의 활동에 의한 온실가스 배출 등이 있습니다. 자연적인 원인이던, 인위적인 원인이던 이산화탄소의 농도 증가와 지구의 온도 상승은 직접적인 상관성이 있습니다.   그럼 현재 지구상에 이산화탄소는 어디서 오는 것일까? 이산화탄소의 근원지는  (1) 바다 밑의 화산활동,  (2) 플랑크톤의 호흡,  (3) 바다 속 생물체의 용해,  (4) 육상암석의 풍화작용,  (5) 바다 속의 흙(퇴적물),  (6) 인간의 화석연료 사용등 다양합니다.   다만 최근 기후변화(전지구평균기온의 급격한 상승)는 산업혁명 이후 인간이 배출한 온실가스(이산화탄소 등)가 원인입니다.(IPCC 제5차 평가보고서, 과학적 근거, 2013) 인간이 화석연료를 사용할 때 나오는 이산화탄소는 온실효과를 일으켜 지구의 기온을 상승시키기 때문입니다.   항상 기상청에 관심을 가져 주셔서 진심으로 감사 드리며 언제나 행복과 즐거움이 가득하길 바랍니다. 그 밖의 궁금하신 사항에 대해서는 언제든지 담당자에게 문의해 주시면 성심성의껏 답변 드리겠습니다. * 담당자 : 기후과학국 기후변화감시과, Tel.02-2181-0645   2021-05-18",기상청 기후과학국 기후변화감시과,기상법 / 제21조(기후감시 및 영향조사 등),2021-05-18
기후 변화,내용,제주지방기상청 세계기상의날 기념행사,제주지방기상청도 별도의 세계기상의날 기념행사가 있는지 궁금합니다,"1. 제주지방기상청에 대한 귀하의 애정과 관심에 깊은 감사를 드립니다.   2. 제주지방기상청은 자체 세계기상의날 기념행사를 매년 추진하고 있습니다. 세계기상의날은 1961년 세계기상기구(WMO)의 국제연합(UN)전문기구 지정 10주년을 기념하여 제정되었으며, 1950년 3월23일 발효된 세계기상기구헌장을 기리기 위하여 매년 3월 23일 개최되고 있습니다.   3. 제주지방기상청 또한 매년 3월 23일 기상.기후.환경 변화에 대한 국민의 관심 유발과 이해확산을 위하여 세계기상의날 기념식 및 기상기후 사진전 등을 개최하고 있습니다. 또한 매년 세계기상의날 주제와 부합한 초청강연을 세계기상의날 기념식과 더불어 개최하고 있습니다.   4. 항상 제주지방기상청에 대한 애정어린 관심과 사랑을 부탁드리며, 위 질문과 관련하여 더 궁금하신 사항은 기획운영과(064-909-3903)로 연락주시면 답변드리도록 하겠습니다. 감사합니다 2021-05-14",기상청 제주지방기상청 기획운영과,기타,2021-05-14
기후 변화,내용,기후변화 시나리오는 무엇인가요?,기후변화시나리오는 무엇인가요?,"안녕하세요, 기상청 업무에 관심을 가져 주셔서 감사합니다. “현재 추세대로 온실가스를 배출한다면 2100년의 기후는 어떻게 될까?”, “기온과 강수량은 얼마나 변하며, 이로 인한 영향은 어느 정도일까?” 기상청은 이런 질문에 대한 예측 정보를 생산하고 있습니다. 이것이 바로 기후변화 시나리오입니다. 이는 온실가스, 에어로졸의 변화 등 인위적인 원인에 따른 기후변화를 조사하기 위해 기후변화모델을 이용하여 기온, 강수, 습도, 바람 등 미래기후를 예측한 정보입니다. 기후변화 시나리오는 온실가스 증가추세에 따라 네 가지 경우로 구분해서 만들어집니다. 이 중 온실가스를 현재 추세대로 배출하는 RCP(Representative Concentration Pathways) 8.5의 경우 21세기 말 이산화탄소 농도가 940ppm에 도달한다면, 현재(1981~2010년)보다 지구의 기온은 4.0℃, 한반도의 기온은 4.7℃ 오르고 지구의 강수량은 4.5%, 한반도의 강수량은 13.1% 증가합니다. 이와 같이 예측된 시나리오는 식량 생산, 병해충 발생, 수자원 관리, 산림 생태계 변화, 재해 등 여러 분야에서 피해를 최소화하고 미래를 준비하는데 유용하게 활용됩니다. 그 밖에 궁금하신 사항이 있으시면 언제든지 문의해 주시면 성심성의껏 답변 드리겠습니다. 감사합니다. 담당자 : 부산지방기상청 기후서비스과, 전화 051-718-0421   2021-05-14",기상청 부산지방기상청 기후서비스과,"기상법 / 제21조(기후감시 및 영향조사 등)
기상법 / 제2조(정의)",2021-05-14
기후 변화,내용,충북지역민을 대상으로 공모전도 진행하나요?,기상청에서 여러 가지 공모전을 개최하는 것으로 알고있습니다. 청주기상지청에서도 충북도민 대상의 공모전을 개최하고 있나요?,"안녕하세요? 평소 기상업무에 관심을 가져주셔서 감사드리며, 귀하의 질문에 답변을 드리도록 하겠습니다.  기상청에서는 기상·기후 이해확산의 일환으로 여러가지 국민 참여형 프로그램을 운영하고 있습니다.   다만, 2020년도부터 청주기상지청 등 소속기관에서는 별도의 공모전을 운영하지 않으며, 기상청에서 일괄로 기후변화과학 통합 공모전을 추진하고 있습니다.  공모전 분야에는 '스토리, 디자인, 미디어' 가 있으며, 전 국민 누구나 참여 하실 수 있습니다.  기상청에서 운영하는 공모전은 ‘기상청 누리집’, ‘청주기상지청 누리집’, ‘청주기상지청 기상기후락 블로그' 에 공지 되오니, 궁금하신 사항이 있으시면 청주기상지청 기후서비스과(043-901-7070)로 문의해주시면 성심성의껏 답변해 드리겠습니다.  감사합니다. 2021-05-14",기상청 대전지방기상청 청주기상지청 기후서비스과,기상법 / 제34조(기상현상 및 기후 분야에 관한 지식보급),2021-05-14
기후 변화,내용,기상청 기후분야 연구개발 사업에는 어떤 것이 있나요?,기상청 기후분야 연구개발 사업에는 어떤 것이 있나요?,기상청에서는 기후·기후변화 관련 목적기초·원천기술 개발을 목표로 '기상·지진 See-At 기술개발연구-기후과학기술 사업'을 수행하고 있습니다. 기후변화가 어떻게 진행되고 있는지를 규명하는 기후변화 감시·분석 기술개발 분야에서는 기후변화 원인물질 감시자료를 수집 분석하며 기후변화 영향정보에 대해 분석하는 기술을 개발 합니다. 미래 기후변화가 어떻게 진행될 것인지 예측하는 기후변화 예측 기술개발 분야에서는 기후변화 예측 메커니즘을 규명하고 예측 신뢰도를 향상하기 위한 기술 등을 개발하고 있습니다. 더 궁금하신 사항이 있으시면 기상청 기후정책과(02-2181-0402)로 연락주시기 바랍니다. 2021-05-14,기상청 기후과학국 기후정책과,기상법 / 제32조(기상업무에 관한 연구개발사업의 추진),2021-05-14
기후 변화,내용,기상청에서 하는 기후업무가 궁금합니다,기상청은 기후분야에서 어떤 업무를 하고 있는지요?,"기상청은 기후변화로 인한 재해로부터 국민을 보호하고 범정부 기후변화대응 정책 지원 및 고품질의 기후변화 과학정보를 제공하기 위해 기후변화 감시 및 분석, 예측, 기후변화과학 대국민 이해 확산, IPCC·WMO등 기후변화 협약 및 대응에 대한 국제 협력 등의 업무를 수행하고 있습니다. 이를 위해 지구대기감시 관측자료를 수집, 분석, 관리하며, 세계기상기구(WMO)의 지구대기감시사업에도 적극 참여하여 배경대기, 온실가스, 오존관측을 수행하고 있으며, 선진지구시스템 모델을 개발하고 국가표준 기후변화 시나리오를 생산하고 있습니다.    또한 일반인이 이용할 수 있는 기후전망을 발표하고 각종 응용자료를 생산하여 그 통계를 주기적으로 공고함으로써 산업분야에도 폭넓게 이용되고 있으며, 이상기후 및 해양기상, 수문·가뭄정보 서비스 등 맞춤형 기후변화 정보를 생산, 제공하여 기후변화에 대한 범정부 대응 체계 구축을 지원하고 있습니다.   더 궁금하신 사항이 있으시면 기상청 기후정책과(02-2181-0404)로 연락주시면 친절히 안내해 드리겠습니다. 2021-05-14",기상청 기후과학국 기후정책과,기상법 / 제20조(기후감시 등을 위한 노력 의무),2021-05-14
기후 변화,내용,기후와 날씨(기상)는 어떻게 다른가요?,기후와 날씨(기상)는 어떻게 다른가요?,"기후와 날씨(기상)는 비슷한 의미로 사용되는 것 같지만 동일한 개념은 아닙니다.  날씨(기상)는 특정 지역에서 임의의 때에 나타나는 종합적인 기상 상태로 기압, 기온, 습도, 바람, 구름의 양, 구름의 형태, 강수량, 일조 등으로 표시하고 있습니다.  반면 기후는 특정 지역에서 규칙적으로 되풀이되는 일정 기간의 평균적인 기상 상황으로, 대기의 종합 상태 또는 대기 현상의 적분 결과라고 할 수 있습니다. 기후는 수십 년 또는 수백 년이라는 긴 주기를 가지고 변화되어 갑니다. 세계기상기구(WMO)에서는 30년 동안의 평균값을 기준으로 삼고 있습니다.  쉽게 비유하자면, 날씨(기상)이 그때그때의 '기분'이라면 기후는 '성격'이라고 할 수 있겠습니다.  더 자세한 문의사항이 있으시면 기후정책과(02-2181-0404)로 연락주시기 바랍니다. 2021-05-14",기상청 기후과학국 기후정책과,기상법 / 제2조(정의),2021-05-14
기후 변화,내용,충북지역 맞춤형 기상기후정보,충북지역 맞춤형 기상기후정보에는 어떤게 있나요?,"안녕하세요. 평소 기상업무에 관심을 가져주셔서 감사드리며, 귀하의 질문에 답변을 드리겠습니다.   기후변화가 가속화되고 이상기상의 빈도가 증가함에 따라 '기후변화 대응과 기후서비스'에 대한 관심이 국가적으로 높아지고 있습니다. 이에 대한 대응의 일환으로 청주기상지청에서는 농업분야 농작물 피해방지 기후정보(서리, 병해충 등), 과수화상병 발생 예측정보, 가뭄정보, 지역기상기후정보 등 수요기관에 맞춤형 기상기후서비스를 개발하여 업무를 추진하고 있습니다. 또한, 도내 관심 이슈인 과수화상병과 피해예측 지수를 개발하여 주요 병해충에 대한 기상기후정보를 시기별로 3~5월/냉해ㆍ늦서리, 4~5월/과수화상병, 5~9월/병해충ㆍ서리 정보를 지역 맞춤형으로 생산하여 지자체 및 도내 관련 기관에 제공하고 있습니다. 한편, 모든 맞춤형 기상기후서비스는 충북농업기술원과 각 지자체 홈페이지 및 청주기상지청 블로그(충북기상기후樂) 에서 확인할 수 있습니다. ※ 청주기상지청 블로그 URL: http://blog.naver.com/cj_131    그 밖에 궁금하신 사항은 청주기상지청 기후서비스과(043-901-7070)로 문의해주시면 언제든지 성심성의껏 답변해 드리겠습니다. 감사합니다. 2021-05-14",기상청 대전지방기상청 청주기상지청 기후서비스과,기상법 / 제34조(기상현상 및 기후 분야에 관한 지식보급),2021-05-14
기후 변화,내용,IPCC가 무엇인가요?,IPCC가 무엇인가요?,"IPCC는 ""Intergovernmental Panel on Climate Change"" 의 약자로 ""기후변화에 관한 정부간 협의체"" 로 현재 195개 회원국이 참여하고 있으며, 우리나라의 이회성 의장님이 제6대 의장단을 이끌고 있습니다.   IPCC는 기후변화 문제에 대처하기 위해 세계기상기구(WMO)와 유엔환경계획(UNEP)이 1988년에 공동 설립한 국제기구로, 기후변화에 관한 과학적 규명에 기여하고 있습니다. 전세계 과학자가 참여·발간하는 IPCC 평가보고서(AR: Assessment Report)는 기후변화의 추세 및 원인, 기후변화에 따른 사회경제적 영향, 대응전략에 대한 과학적 정보 제공 등 파리기후협정, 유엔기후변화협약(UNFCCC)으로 대표되는 정부간 협상의 근거자료로 활용됩니다.   * 5차 평가보고서는 2014년 작성, 6차 평가보고서는 2022년 발간 예정  48차 총회는 2018년 인천(송도)에서 개최,  '1.5℃ 특별보고서가 승인'되는 성과를 얻은 바 있습니다.   IPCC에 관해 더 궁금한 사항이 있으시면  기상청 기후정책과(02-2181-0403)로 연락주시기 바랍니다. 2021-05-14",기상청 기후과학국 기후정책과,기상법 / 제33조(국제협력의 추진),2021-05-14
