검색키워드,검색범위,시작일,단계,참여인원,제목,날짜,좋아요개수,댓글개수,본문내용,참여기간,관련주제,관련지역,태그,댓글내용
기후 변화,내용,2020-10-12,종료,2,"기후 위기의 시대에 농업은 어떤 역할을 할 수 있으며, 식량위기에 대처할 방안은 무엇일까요?",2020.11.09,0,2,"(시작)
2020년 우리나라의 여름 장마는 무척 길었고, 그 결과는 각종 과일 채소 가격의 폭등으로 나타났습니다.
전 세계적으로 농업분야에 있어 기후변화는 이미 재난의 일종으로 규정되어가고 있습니다. 기후 변화가 가져올 농촌과 농업에 대한 피해는 실로 막대합니다. 예측할 수 없는 홍수, 가뭄, 태풍으로 인한 피해는 물론 빨라지는 생육환경 변화로 인해 농업인들이 겪는 피해는 상상조차 하기 힘듭니다. 한편으로는 기후변화를 유발하는 온실가스 배출의 가장 큰 원인이 축산업이라는 연구결과도 있습니다.
앞으로 기후 위기의 시기에 농업계의 역할은 어떤 것일지, 위기에 어떻게 대처해 나가야 할지 함께 생각해봤으면 합니다.
1. 비닐을 친환경 재료로 만드는 일, 비료 농약을 줄이는 일 등 농업계는 기후 변화에 대해 노력하고 있습니다. 기후 위기에 대해 농업계가 더 열심히 해야 할 일, 할 수 있는 일은 무엇일까요.
2. 기후 변화를 당장 막아내기 힘들다면 기후 변화에 따라 곧 다가올지 모르는 식량부족 문제를 해결하기 위한 좋은 방안은 어떤 것이 있을까요.
(발전)
여러 분들이 좋은 의견 주셨습니다.
1. 농업분야에서 기후 위기에 대응하기 위한 방법으로는
  - 농민 숫자(특히 소농)가 늘어야 한다.
  - 도농 직거래 등 농산물 유통구조를 개선해야 한다.
  - 농민의 기본소득을 보장해야 한다.
  - 생태 농업(저탄소 재생농업, 유기농업, 친환경 농업)을 적극적으로 지원해야 한다.
  - 축산업을 축소하고, 양분총량제를 도입하여 축분 사용을 축소해야 한다.
  - 도시농업을 활성화 해야 한다. 
2. 식량부족 위기를 해결하기 위한 방안으로는
 - 스마트팜, 실내농장, 식물공장 등 기후 변화를 극복할 수 있는 기술에 투자해야한다.
 - 기후변화에 적합한 재배작목을 선택하거나 작물을 개선해야 한다.
 - 지역 농부시장을 활성화애햐 한다.
그렇다면 이러한 과제들을 달성하기 위해서는 어떤 노력들이 필요할지 의논해보았으면 합니다.
예를 들면 생태 농업을 지원하거나 기본소득을 보장하기 위해서는 지원받을 수 있는 분들의 범위를 설정하거나 지원 방법, 예산, 법령 등에 대한 설정이 필요합니다. 그리고
축산업을 축소하기 위해서는 농업구조 변화나 식생활 변화가 동반되어야 될거라고 생각됩니다.
또한 스마트팜, 실내농장, 식물공장 등 농업 기술 발전을 위해서도 이와 같은 노력이 필요합니다.
여러분들이 생각하는 것들은 어떤 것인가요?",2020-11-09~2020-11-09,농림·해양·산림>기타,,,
기후 변화,내용,2020-10-12,종료,0,"기후 위기의 시대에 농업은 어떤 역할을 할 수 있으며, 식량위기에 대처할 방안은 무엇일까요?",2020.11.03,0,0,"(시작)
2020년 우리나라의 여름 장마는 무척 길었고, 그 결과는 각종 과일 채소 가격의 폭등으로 나타났습니다.
전 세계적으로 농업분야에 있어 기후변화는 이미 재난의 일종으로 규정되어가고 있습니다. 기후 변화가 가져올 농촌과 농업에 대한 피해는 실로 막대합니다. 예측할 수 없는 홍수, 가뭄, 태풍으로 인한 피해는 물론 빨라지는 생육환경 변화로 인해 농업인들이 겪는 피해는 상상조차 하기 힘듭니다. 한편으로는 기후변화를 유발하는 온실가스 배출의 가장 큰 원인이 축산업이라는 연구결과도 있습니다.
앞으로 기후 위기의 시기에 농업계의 역할은 어떤 것일지, 위기에 어떻게 대처해 나가야 할지 함께 생각해봤으면 합니다.
1. 비닐을 친환경 재료로 만드는 일, 비료 농약을 줄이는 일 등 농업계는 기후 변화에 대해 노력하고 있습니다. 기후 위기에 대해 농업계가 더 열심히 해야 할 일, 할 수 있는 일은 무엇일까요.
2. 기후 변화를 당장 막아내기 힘들다면 기후 변화에 따라 곧 다가올지 모르는 식량부족 문제를 해결하기 위한 좋은 방안은 어떤 것이 있을까요.
(발전)
여러 분들이 좋은 의견 주셨습니다.
1. 농업분야에서 기후 위기에 대응하기 위한 방법으로는
  - 농민 숫자(특히 소농)가 늘어야 한다.
  - 도농 직거래 등 농산물 유통구조를 개선해야 한다.
  - 농민의 기본소득을 보장해야 한다.
  - 생태 농업(저탄소 재생농업, 유기농업, 친환경 농업)을 적극적으로 지원해야 한다.
  - 축산업을 축소하고, 양분총량제를 도입하여 축분 사용을 축소해야 한다.
  - 도시농업을 활성화 해야 한다. 
2. 식량부족 위기를 해결하기 위한 방안으로는
 - 스마트팜, 실내농장, 식물공장 등 기후 변화를 극복할 수 있는 기술에 투자해야한다.
 - 기후변화에 적합한 재배작목을 선택하거나 작물을 개선해야 한다.
 - 지역 농부시장을 활성화애햐 한다.
그렇다면 이러한 과제들을 달성하기 위해서는 어떤 노력들이 필요할지 의논해보았으면 합니다.
예를 들면 생태 농업을 지원하거나 기본소득을 보장하기 위해서는 지원받을 수 있는 분들의 범위를 설정하거나 지원 방법, 예산, 법령 등에 대한 설정이 필요합니다. 그리고
축산업을 축소하기 위해서는 농업구조 변화나 식생활 변화가 동반되어야 될거라고 생각됩니다.
또한 스마트팜, 실내농장, 식물공장 등 농업 기술 발전을 위해서도 이와 같은 노력이 필요합니다.
여러분들이 생각하는 것들은 어떤 것인가요?",2020-11-03~2020-11-06,농림·해양·산림>기타,,,
기후 변화,내용,2020-10-12,종료,8,"기후 위기의 시대에 농업은 어떤 역할을 할 수 있으며, 식량위기에 대처할 방안은 무엇일까요?",2020.10.12,2,8," 
2020년 우리나라의 여름 장마는 무척 길었고, 그 결과는 각종 과일 채소 가격의 폭등으로 나타났습니다.
전 세계적으로 농업분야에 있어 기후변화는 이미 재난의 일종으로 규정되어가고 있습니다. 기후 변화가 가져올 농촌과 농업에 대한 피해는 실로 막대합니다. 예측할 수 없는 홍수, 가뭄, 태풍으로 인한 피해는 물론 빨라지는 생육환경 변화로 인해 농업인들이 겪는 피해는 상상조차 하기 힘듭니다. 한편으로는 기후변화를 유발하는 온실가스 배출의 가장 큰 원인이 축산업이라는 연구결과도 있습니다.
앞으로 기후 위기의 시기에 농업계의 역할은 어떤 것일지, 위기에 어떻게 대처해 나가야 할지 함께 생각해봤으면 합니다.
1. 비닐을 친환경 재료로 만드는 일, 비료 농약을 줄이는 일 등 농업계는 기후 변화에 대해 노력하고 있습니다. 기후 위기에 대해 농업계가 더 열심히 해야 할 일, 할 수 있는 일은 무엇일까요.
2. 기후 변화를 당장 막아내기 힘들다면 기후 변화에 따라 곧 다가올지 모르는 식량부족 문제를 해결하기 위한 좋은 방안은 어떤 것이 있을까요.
 ",2020-10-13~2020-10-22,농림·해양·산림>기타,,#기후변화 #농업 #기후위기,
기후 변화,내용,2020-02-10,종료,34,"날씨의 기억, 국민의 기록! [기상기후사진 공모전] 안내 및 설문",2020.02.10,3,5,"제37회 기상기후사진 공모요강
  기상청은 매년 세계 기상의 날(3월 23일)을 맞아 국민참여를 통해 기상현상을 기록하고 기상과학에 대한 이해를 높이기 위해 기상기후사진 공모와 전시회를 개최하고 있습니다.
여러분들이 일상생활에서 느낄 수 있는 아름답고 신비한 기상현상을 함께 나누고자 합니다.
여러분의 사진이 기상기후의 역사가 됩니다.
「제37회 기상기후사진 공모전」은 기상기후를 사랑하는 여러분의 도전을 기다립니다.
1. 공모개요
○ 공 모 명 : 제37회 기상기후사진 공모전
○ 공모부문 : 일반사진 / 타임랩스
○ 공모주제 : 날씨의 기억, 국민의 기록!
- 비, 눈, 번개, 구름, 무지개 등 하늘에서 일어나는 현상
- 가뭄, 홍수, 대설, 태풍, 지진 등 땅에서 일어나는 자연재해 현상
- 기후변화로 인간에게 남겨진 자연현상
- 기상, 기후와 관련된 인간의 노력을 담은 순간포착 사진
 
○ 공모대상 : 대한민국 국민 누구나
○ 주 최 : 기상청
 
2. 공모일정
○ 공모기간 : 2020. 01. 29.(수) - 02. 27.(목)
○ 심 사 : 2020년 3월 초
○ 수상자 사전 연락 : 2020. 03. 10.(화) - 03. 16.(월)
※ 정해진 기간 내 연락이 안될 시 수상포기로 간주함
○ 당선작발표 : 2020. 03. 17.(화) 14:00 공모전 홈페이지 발표
○ 시상식 : 2020. 03. 23.(월) 세계 기상의 날 기념식
○ 전시 : 2020년 4-5월 중
※ 주최 측 사정에 따라 세부일정은 변경될 수 있으며, 변경 시 공모전 홈페이지를 통해 공지 예정
 
 
 
3. 응모방법
○ 접수방법 : 공모전 홈페이지 파일 업로드 www.kmaphoto.co.kr(단, 타임랩스의 경우 용량이 큰 파일 접수시 유튜브 업로드 후 URL주소 첨부)
○ 출품규격
  구 분 내 용
공통 ◦ 부문별 1인당 최대 5작품
◦ 디지털카메라 또는 이와 동등 이상 성능의 카메라로 촬영
사진 ◦ 해상도 2200×1500 pixel 이상, 파일크기 10MB이내의 JPG 파일
◦ 편집이나 합성을 하지 않은 작품
타임랩스 ◦ 해상도 1280X720 pixel 이상, 30초~5분 내외의 파일
◦ 파일형태 : avi, wmv, mp4
※ 기상․기후 관련 사진 중 최근 3년 이내(2017년 1월 1일 이후) 촬영한 국내․외 미 발표작을 대상으로함
※ 규격미달 작품과 사진촬영정보(Exif)를 삭제한 작품은 심사대상에서 제외될 수 있음
※ 컴퓨터 그래픽이나 이미지 합성․조작․변형한 작품, 표절하였거나 표절로 인정되는 작품
(단, 단순보정은 허용), 타인 및 법인 등의 저작권이 매도되었거나 진행 중인 작품, 자연 환경을 훼손하거나 인공적인 기상현상을 발생시키면서 촬영한 작품은 출품을 제한함
 
4. 시상내용
<총 38점>
  구 분 훈 격 작품 수 상 금
일반사진 대상 환경부장관상 1점 500만원
금상 기상청장상 1점 200만원
은상 1점 100만원
동상 2점 각 50만원
입선 상장 없음 30점 각 20만원
타임랩스 특별상 기상청장상 1점 100만원
입선 상장 없음 2점 각 50만원
계   38점 1,700만원
※ 제세공과금은 본인 부담
 
 
 
 
5. 심사기준
○ 일반사진
- 특이하고 신비한 기상현상, 기상재해에 대한 경각심을 높이는 작품
- 작품성과 학술적 가치가 있으며 기상과학에 대한 홍보 효과가 있는 작품
○ 타임랩스
- 기상기후 변화를 잘 나타낼 수 있는 작품을 일반사진의 심사기준과 함께 심사
 
6. 응모 시 유의사항
  ㅇ 응모신청서(연락처 등) 미작성 및 기입 오류 등으로 연락이 안되는 응모작품은 심사에서 제외됨
ㅇ 응모한도를 초과한 응모작품은 시간 순 1인당 5점 이후 응모 작품부터 심사에서 제외됨
ㅇ 사진에 인물, 건축물, 개인·법인소유지 등이 포함되었을 경우 응모자는 초상권 등 저작권과 관련하여 발생할 수 있는 문제들을 해결한 후 응모하여야 하며, 향후 분쟁이 발생할 경우 민·형사상의 모든 법적 책임은 출품자(저작권자)에게 있음
ㅇ 응모 형식과 규격에 맞지 않는 작품, 다른 공모전에서 입상한 작품 및 표절·복제 등으로 타인의
저작재산권 등을 침해한 경우 심사에서 제외하며, 수상 후에도 이 사실이 밝혀질 경우 수상을
취소하고 상장 및 상금 등은 일체 회수함
ㅇ 본 심사 대상으로 선정된 작품의 출품자는 주관사로부터 본 심사에 필요하여 원본파일 제출을 요구받았을 때, 원본파일을 제출해야 하며, 제출하지 않을시 본 심사 대상에서 제외됨
ㅇ 모든 수상자는 사전연락 기간(2020년 3월 10일 화요일~3월 16일 월요일) 까지 원본 데이터 제출
- 제출한 원본 데이터가 응모작과 일치하지 않거나 기한 내에 제출하지 않은 경우 또는 기재된
연락처가 불분명하여 연락이 되지 않는 경우 수상에서 제외함
   
7. 저작권 관련 유의사항
※ 제45조 저작재산권의 양도, 제46조 저작물의 이용허락에 대한 저작권법 따른 근거
  ㅇ 공모전 입상작에 대한 모든 권리(저작권 일체 및 2차 저작물 또는 편집저작물의 작성권 등)는 공익목적의 대국민 기상업무 홍보에 한하여 기상청에 귀속
ㅇ 기상청은 최종 입상된 작품의 모든 저작재산권에 대한 작품활용동의서를 통해 향후 홍보와 관련된 2차 저작물 또는 편집제작물로 제작, 복제 및 배포할 수 있음
 
8. 문 의
ㅇ 공모전 운영사무국(☎ 070-8850-2788) 또는 공모전 홈페이지 Q&A 게시판
ㅇ 인스타그램 아이디 kma_photo_contest_
 ",2020-02-10~2020-02-28,환경>기후·기상,,#기상기후 #날씨 #환경 #미세먼지 #기상청 #공모전 #사진 #사진공모전 #기상기후사진공모전 #태풍 #기후현상 #기후변화 #지구온난화 #환경보호 #에코 #기상 #기후,
기후 변화,내용,2019-09-26,종료,32,국민이 함께하고 싶은 나무는?,2019.10.18,5,7,"o 국립산림품종관리센터는 산림청의 ‘우량종자 생산을 위한 종자공급원의
  관리 및 확대’ 방침에 따라「채종원 조성·관리 추진계획(’17∼’21)」을 수립했습니다.
o 채종원이란 ? 산림의 가치 증진을 위하여 유전적으로 우수한 형질을 지닌
  ‘수형목’을 복제(접목묘)하여 조성한 산림용 종자 공급원입니다.
  <채종원 조성과정 및 개량효과>
o  ’30년 이후 공급되는 산림용 종자의 90%이상이 채종원산 종자가 될 수 있도록
  채종원 2,500ha 조성을 목표로 신규 채종원 조성과 노령 채종원의 갱신·폐기 
  업무 등을 수행하고 있습니다.
 * 채종원 조성목표 :  (‘16) 785ha → (‘21) 1,035ha → (‘26) 1,535ha → (‘30) 2,500ha
 * 종자 공급율 목표 :  (‘16) 33% → (‘21) 48% → (‘26) 70% → (‘30) 90%
  
o 센터에서는 현재 1)경제성 및 시장요구에 부합하는 ‘전략수종인 소나무, 낙엽송
  채종원’, 2)기후변화에 대응한 ‘가시나무류 난대수종 채종원’, 3)남북산림협력용 
  종자확보를 위한 ‘잎갈나무 채종원’ 등을 ’21년까지 총 250ha목표로 연차별 50ha씩
  신규조성 계획하고 있습니다.
 <채종원 연차별 조성계획>
o 채종원 조성확대 사업 4년차인 ’20년에는「채종원 조성관리 사업 2단계 추진계획」
  수립에 대한 논의가 이루어져야 하며, 약 20년 후의 미래 조림수요 예측 및 기후 변화
  양상, 목재시장 수요·공급양상 등을 면밀하게 검토하여 신규 채종원 조성수종이
  선정되어야 합니다.
o 이에, 국민들의 의견은 어떤지 수렴하기 위해서 국민생각함 토론의 장을 열었습니다.
   많은 참여와 관심 부탁드립니다.
 
 ",2019-10-18~2019-10-31,농림·해양·산림>산림·산촌,충청북도>충주시,#나무 #국민 #보다나은산림청 #함께하는 #국립산림품종관리센터 #정부혁신 #산림청 #채종원 #의견수렴,
기후 변화,내용,2019-10-18,종료,18,멸종위기 구상나무를 유전다양성으로 살려요!,2019.10.18,4,18,"구상나무는 지리산, 한라산, 덕유산 등 한반도의 남부지역 해발고 1,000m 이상에서 주로 자라는 우리나라 특산수종입니다. 외국에서는 구상나무를 개량하여 크리스마스 트리로 많이 이용하고 있으며, 최근 우리나라에서는 구상나무의 잎에서 추출한 정유에 피부 미백과 주름 개선에 효과가 있다는 연구 결과가 발표되어 앞으로 상업적 이용가치가 높은 나무입니다.
하지만 현재 구상나무는 멸종의 위협에 처해 있습니다. 제한 된 분포지역과 기후 변화로 인한 멸종의 위협으로 인해 IUCN(International Union for Conservation of Nature; 국제자연보전연맹) 멸종위기종으로 등재 되었습니다. 지리산 반야봉 일대 구상나무 조사지역에서는 3년간 고사율이 최대 32%로 높게 나타났습니다. 생존의 갈림길에 처해있는 우리나라의 고유종인 구상나무의 보존이 시급한 상황입니다.
국립산림과학원에서는 우리나라 특산수종인 구상나무를 보존하기 위해 구상나무의 대표적 자생지인 지리산, 한라산, 덕유산 3집단과 몇 개체만 살아남아 있는 잔존집단인 금원산, 영축산, 가야산 집단의 유전다양성 분석과 집단의 근연관계 분석을 수행하고 있습니다. 생물은 유전적으로 다양한 개체가 함께 자랄 때 급격한 환경변화에서 살아남을 가능성이 큽니다. 그래서 사멸의 위험이 가장 높은 잔존집단과 유전적 근연관계가 가장 가까운 집단의 종자를 이용해 유전다양성을 높여 주면, 잔존집단이 환경변화에 대응 할 수 있는 기회를 제공하여 구상나무 스스로 변화에 적응 할 수 있는 가능성을 높여주는 연구를 수행중입니다.
이상과 같은 연구내용에 국민여러분은 어떻게 생각하시는지 의견을 듣고 싶습니다. 우리나라 특산수종인 구상나무를 보존하기 위해 국민 여러분은 어떤 의견을 갖고 계신지, 유전다양성을 이용해 보존하는 방법에는 어떻게 생각하시는지 의견을 남겨 주시기 바랍니다.
 ",2019-10-18~2019-11-15,농림·해양·산림>산림·산촌,,#멸종위기 #유전다양성 #보존 #보전 #구상나무 #복원,
기후 변화,내용,2019-09-26,종료,51,국민이 함께하고 싶은 나무는?,2019.09.26,4,16,"o 국립산림품종관리센터는 산림청의 ‘우량종자 생산을 위한 종자공급원의
  관리 및 확대’ 방침에 따라「채종원 조성·관리 추진계획(’17∼’21)」을 수립했습니다.
o 채종원이란 ? 산림의 가치 증진을 위하여 유전적으로 우수한 형질을 지닌
  ‘수형목’을 복제(접목묘)하여 조성한 산림용 종자 공급원입니다.
  <채종원 조성과정 및 개량효과>
o  ’30년 이후 공급되는 산림용 종자의 90%이상이 채종원산 종자가 될 수 있도록
  채종원 2,500ha 조성을 목표로 신규 채종원 조성과 노령 채종원의 갱신·폐기 
  업무 등을 수행하고 있습니다.
 * 채종원 조성목표 :  (‘16) 785ha → (‘21) 1,035ha → (‘26) 1,535ha → (‘30) 2,500ha
 * 종자 공급율 목표 :  (‘16) 33% → (‘21) 48% → (‘26) 70% → (‘30) 90%
  
o 센터에서는 현재 1)경제성 및 시장요구에 부합하는 ‘전략수종인 소나무, 낙엽송
  채종원’, 2)기후변화에 대응한 ‘가시나무류 난대수종 채종원’, 3)남북산림협력용 
  종자확보를 위한 ‘잎갈나무 채종원’ 등을 ’21년까지 총 250ha목표로 연차별 50ha씩
  신규조성 계획하고 있습니다.
 <채종원 연차별 조성계획>
o 채종원 조성확대 사업 4년차인 ’20년에는「채종원 조성관리 사업 2단계 추진계획」
  수립에 대한 논의가 이루어져야 하며, 약 20년 후의 미래 조림수요 예측 및 기후 변화
  양상, 목재시장 수요·공급양상 등을 면밀하게 검토하여 신규 채종원 조성수종이
  선정되어야 합니다.
o 이에, 국민들의 의견은 어떤지 수렴하기 위해서 국민생각함 토론의 장을 열었습니다.
   많은 참여와 관심 부탁드립니다.
 
 ",2019-09-26~2019-10-11,농림·해양·산림>산림·산촌,충청북도>충주시,#나무 #국민 #정부혁신 #보다나은산림청 #산림청 #채종원 #국립산림품종관리센터 #의견수렴 #함께하는,
기후 변화,내용,2019-07-25,종료,2,"청주의 기후 변화에 적응, 대응하기 위해 어떠한 정책들이 필요할까요?",2019.08.20,4,2,"청주시의 기후 변화 적응 및 대응을 위한 정책 방향에 대해 여러 의견을 제시해주셨는데, 시민들의 참여를 높이고 체감할 수 있는 기후변화정책에는 어떠한 것들이 필요할까요? 많은 분들의 다양한 의견을 듣겠습니다.",2019-08-20~2020-03-03,환경>대기,충청북도>청주시,#기후변화 #기후대응 #청주기후,
기후 변화,내용,2019-07-25,종료,0,"청주의 기후 변화에 적응, 대응하기 위해 어떠한 정책들이 필요할까요?",2019.08.20,0,0,"청주시의 기후 변화 적응 및 대응을 위한 정책 방향에 대해 여러 의견을 제시해주셨는데, 시민들의 참여를 높이고 체감할 수 있는 기후변화정책에는 어떠한 것들이 필요할까요? 많은 분들의 다양한 의견을 듣겟습니다.",2019-08-13~2020-03-03,환경>대기,충청북도>청주시,#기후변화 #기후대응 #청주기후,
기후 변화,내용,2019-08-01,종료,6,일본의 코를 납작하게 해주자,2019.08.01,5,6,"현대의 기술력 으론  부속 부족으로   우리가 일본을 이길수가 없다  
하지만  일본의 코를  미래의 신기술로 일본의 코를    납작하게 해줄순 있다  
미래의  신기술을   만든다면  가능하다   
세계 과학자들도  절대로  불가능 하다는  무한동력 과   기후변화를  막아줄   기후조절장치를  
만들어    사하라사막에 설치할 경우  사막에 나무가 자라는 숲 으로  만들어  줄수 있고  
남극이나 북극에  설치한다면  빙하를 만들어 기후 변화를 막을수 있다 
이런 기계를 만들수는  있으나    특허청의  특허법을  고치기 전엔  대한민국에선  절대로 
만들수 없다   
얼마전에  물리학적으로  불가능한 것과  현대과학으로 가능한   서로 원라가 다른  두대의  
무한동력을  만들어갈테니   특허  검증을 해줄수 있냐고  물었더니  
특허청에서 하는말   여기는  그런것 취급 안하니  다른데 가서  알아보라함   
이게 말이여막걸리여 ~   왜 무한동력은  특허 등록도  검증도  해줄수 없단 건지  모르겠다 
그럼  물리학적으로  불가능한걸   검증ㅇ을 해줄수없다면   먼 훗날 미래에  UFO  를 만들었는데 
이것도 물리학적으로   불가능하다면   특허를 내줄수 없다는 말과 같다  
대한민국의 기초과학이 발전할려면  무엇이든  등록과  검증을 해주고   검증에서  강력하게 
검사해 통과를 안시켜 주면  돼는것 아닌가  
일본의 코를  납작 하게 해주길  바란다면  대한민국의  특허법을  고쳐야 한다 
 ",2019-08-01~2020-03-03,통신·과학>과학기술연구,,#미래의신기술 #특허법을고치자,
기후 변화,내용,2019-07-25,종료,3,"청주의 기후 변화에 적응, 대응하기 위해 어떠한 정책들이 필요할까요?",2019.07.25,1,3,"급속한 산업 발전과 기술 성장은 현대인에게 편리한 생활환경을 제공했지만 이로 인한 각종 환경오염은 조금씩 우리의 생명과 안전을 위협해오고 있습니다. 지구온난화, 폭염, 집중호우 등 이상기후 현상은 지구가 보내오는 대표적인 경고메시지이기도 합니다. 지난 2017년 여름의 집중호우, 올해 2~3월에 발생한 고농도 미세먼지 등 최근 청주에서도 재난에 가까운 기후 변화의 영향을 받고 있습니다.
급변하는 기후 변화의 시대를 맞고 있는 청주시에서 이러한 기후 변화에 대처하기 위해 어떠한 정책들이 필요할 까요? 많은 분들의 다양한 의견을 듣겠습니다.",2019-07-25~2019-08-18,환경>대기,충청북도>청주시,#기후변화 #기후대응 #청주기후,
기후 변화,내용,2019-04-21,종료,1,시민 발언건,2019.04.21,1,1,"시민 의견 제안 민윈  궁금증?
시민 밀착형  시민발언건  희망하고
시민이 모르는 부분까지 알려주세요
물론 광범위 합니다
(예)서울시 정보 광장  콘테츠
각 부처별 관공서  및   은행 우체국  생활  밀접한  민윈 기타 등
얼마나 시민 의견 반영 검토  후  반영된까  궁금
새로운   법률 공포 제.개정  되면  또다시 행정절차법 있지만   또 시민의견 반영  할지
지방별 도시군면  전결  위임사항등  행정절차법 에 의거   처리되지만
시대적 세계적 환경 기후 변화 등  적재적소  처리 희망
멀고도 가까운 생활 법률
시민이 꼭 실천해야 법률상식  
법률 공포 관보 기재  신문 인테넷 열람  등
효력  발생기간 현재 20일 알고 있음
대중 매체 등 10일  단축 의견 제시 부탁합니다
보다 나은 국민 서비스  
 보다 나은 it개발
보다 나은 품질 개발
보다 나은  콘테츠 개발
감사합니다 ",2019-04-21~2020-03-03,통신·과학>과학기술제도,충청북도>청주시,#♡,
기후 변화,내용,2019-02-07,종료,8,"한국에너지 공단(KEA)입니다. 국민들이 공감할 수 있는 미션, 비전 수립을 위해 여러분들의 의견을 묻고자 합니다. 여러분들이 생각하는 한국에너지 공단의 미래상은 무엇인가요?",2019.02.07,11,8,"한국에너지공단(KEA)는 에너지효율성을 극대화하여 기후변화대응, 온실가스감축 등에 기여하는 다양한 업무들을 수행하고 있습니다.현재 한국에너지공단의 미션은 ""에너지효율과 신재생에너지 및 온실가스 감축으로 국가경제 발전과 국민복지 증진"" 비전은 ""고효율, 녹색, 저탄소 시대를 선도하는 에너지, 기후 변화대응 전문 기관"" 입니다.  국민과 함께 하는 한국에너지 공단이 되기 위해, 여러분들의 의견을 듣고자 합니다. 한국에너지 공단의 미래상은 어떤 것일까요?",2019-02-07~2020-03-03,일반공공행정>국민권익·인권,,#미래상 #비전 #한국에너지공단 #미션,
기후 변화,내용,2017-08-30,종료,10,"농촌진흥청의 노하우, 프렌차이즈 사업 어떤가요?",2017.08.30,16,10,"안녕하세요, 경기도거주/직장인/기혼/남성입니다.
저는, 스스로를 공공기관 빠돌이를 자처하며, 공공기관에서 나오는 여러 소식들을 찾아다니면서,
유용한 정보들이나 소식들을 접하는 데 상당 시간을 투자하고 있습니다. 물론 제가 IT 업종에서 일을 하면서, 인터넷을 하루종일 붙잡고 있는 사무직의 특성 때문에 가능한 일인지도 모르겠습니다.
그 여러, 공공기관에서 나오는 소식 중, 제일 좋아라 하는 기관을 꼽아보자면~ 바로 #농촌진흥청! 입니다.
왜? 먹을거리를 관리하는 기관이라는 거죠! 최근에는 지역로컬푸드직매장에서 진행한, 토종 모종과 씨앗 나눔 행사에도 다녀왔습니다. 물론 이 행사는 민간협회에서 진행한 행사이긴 하지만, 우리 소중한 먹거리에 대한 관심 등을 느껴볼 수 있는 행사였습니다.
이제부터, 본론을 시작하자면, 지극히 개인적이고 편협한 시각일 수도 있겠습니다만,
우리 농수산물에 대한 깊은 이해와 관리의 노하우 뿐만 아니라, 맛난 음식으로 만들어내는 레시피 또한 농수산물에 대한 정직한 이해를 갖고 있는 농촌진흥청이 프렌차이즈 형태의 요식업 사업을 진행한다면, 정말 믿을 수 있는 먹거리를 제 돈 주고 지불하는게 아깝지 않을 것임은 자명한 일입니다. 몇개월은 안되었지만, 농촌진흥청에서 운영하는 공식블로그 등의 소셜을 통해 소개되는 건강한 먹거리와 식재료, 음식 조리 방법 레시피 등등 뭣하나 소홀한 거 없이 알찬 정보들이 그득한데, 이런 내용들을 농촌진흥청에서 하나의 수익사업으로 발전시키면 어떨까 하는 생각입니다.
물론, 현재도 농수산물 부가가치 증대를 위한 농촌진흥청의 산학협력 기술연구 및 기술이전 결과가 민간 부문 및 사업 부분에 적극 활용되고 있는 줄은 압니다만 공공기관, 바로 농총진흥청의 이름으로 사업 모색의 길을 고려해 보았습니다. 더불어 프렌차이즈 사업 활성화를 위한 노하우는 농촌진흥청에서도 새로운 과제로 어려움은 있을 줄 압니다만, 긍정적인 방향으로 바라본다면 사업성 또한 여타 수익모델에 뒤지지 않을 기반은 갖추지 않았는가 합니다.
대한민국에 거주하며, 다양한 분야의 공공의 서비스 제공 받고 계시죠!
의료, 교육, 안전 등등 독불장군으로는 살기 어렵고, 공공의 서비스로부터 떨어져 살기 또한 어렵습니다.
반복되는 내용이지만, 농촌진흥청에서 해주는 요리~ 의심하지도, 질리지도 않고 먹을 수 있을 듯 합니다.
기후 변화, 식생활, 식습관, 미래식량 등의 이슈에 대한 전문 지식을 갖춘 농촌진흥청의 요식업 프렌차이즈 사업! 국민생각함 여러분의 의견이 궁금합니다.
(참조) 2017농업기술박람회 #북카페 http://www.rda.go.kr/act/pageU...",2017-08-30~2020-03-03,농림·해양·산림>농업·농촌,,#농촌진흥청,
